ID,ProductFamilyID,Brand,Series,Generation,VersionName,BabySize,Tier,LaunchTime,LaunchMonth,Form,Size,Price,Weight,Image,Design_ProductDimension,Design_Core,Design_Topsheet,Image_TS,Design_Backsheet,Design_FasteningSystem,Design_Aesthetic,Design_Package,Design_Accessories,Performance_GBAbsorbency,Marketing_CoreSellingPoint,Marketing_Absorbency,Marketing_LeakProtection,Marketing_SkinComfort,Marketing_FitAntiChafe,Marketing_AppearanceDesign,Rating_ConsumerFeedback,Rating_MarketPerformance,Rating_CostRating
Huggies-Taped-Penguins-Sz2-G3-202510,Huggies-Taped-Penguins-Sz2,Huggies,小企鹅,(数据确认中),(数据确认中),NB S M L XL,SP,Oct-25,2025-10,Taped,S,2.7,24.1,Huggies-Taped-Penguins-Sz2-G3-202510,"产品尺寸            395X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            14.5g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            35+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Huggies-Taped-Penguins-Sz2-G3-202510_TS,"背层材质            0.6D热风
背层克重            20 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            55 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               企鹅主题

印花款式               2种","包装材质               PE 复合膜
包装印花               企鹅主题
包装厚度               120 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 2","吸收速度Gush 1                18 Sec
吸收速度Gush 2                13 Sec
回渗 Gush 2                       0.3 g","• 
[纸尿裤] funnel-tech 黑科技面层，有助精准隔离尿便刺激
• 
前区吸尿后区吸便。减少73%便便附着;
• 
[拉拉裤] 革新专利【奇迹奢柔】腰围，高柔慕斯泡泡，微米级弹力纤维","• 
二代tunnel超导芯，中空结构超速导流，吸收面积X2.4倍，吸收速度+63%;
• 
一片吸9次，近0漏尿;
• 
30倍吸收自身重量，遍布上万颗魔力吸水珠 海量吸收
• 
紧缩稀便，不脏屁屁，后区200+吸便漏斗，前区瞬吸黑洞。","• 
黑标进阶防漏系统，畅动无负担;
•
 [纸尿裤] 奢柔便便兜，无忧后漏烦恼;
• 
双层立体悬浮设计，侧漏克星","• 
黑标奢柔顶配，0.6D极细纤维，细如1/4宝宝发丝，柔软进阶50%;
• 
0.2cm裸感超薄，超薄透气，不怕小屁屁生闷气;
• 
上亿微米级透气孔
• 
臻选高定级面料，360°柔愈娇嫩肌，嘭嘭气垫面层奢柔升级，柔软提升30% 一触融肤","• 
[纸尿裤] 升级泡泡腰贴，微气孔发泡技术，柔软度+200%;
• 
[拉拉裤] 双buff舒压，近0勒痕，高柔慕斯泡泡，微米级弹力纤维","• 
萌趣伙伴开启新生感官之旅;
• 
高定新风尚，内在奢适 外在美学;
• 
AW 印花文字hello world","[数据生成中…]

ER&R Topline Report link",AAA,$$$$
Huggies-Taped-PPMask-Sz2-G2-202507,Huggies-Taped-PPMask-Sz2,Huggies,屁屁面膜,(数据确认中),(数据确认中),NB S M L XL,SP,Jul-25,2025-07,Taped,S,2.3,23.9,Huggies-Taped-PPMask-Sz2-G2-202507,"产品尺寸            400X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            14.5g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            34+11 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            苹果酸精华",Huggies-Taped-PPMask-Sz2-G2-202507_TS,"背层材质            0.6D热风
背层克重            20 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            55 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               HappyPP

印花款式               1种",(数据获取中),(数据获取中),(数据获取中),"• 
第二代尿便分区，直击红屁屁成因
• 
亲肤层添加苹果酸精华，降低肌肤泛红30%;
• 
奇迹稳稳，远离红屁屁","• 
吸收速度+30%，锁便能力+25%;
• 
反重力吸收芯，倒着也能吸，一尿就吸完;
• 
一片吸8次，屁肌时刻清爽",• 尿区特设小孔...便区240多个吸便漏斗，牢牢锁住稀便,"• 
新升级 0.6D极细纤维，肌肤如沐奢宠SPA，仅1/4胎毛细度，专为新生，柔软+50%;
• 
超薄超透气，散热提升1-2倍;
• 
芯体薄至0.2cm，透气提升39%，上亿微米级透气孔
• 
亲肤层添加苹果酸精华，降低肌肤泛红30%，奇迹稳稳，远离红屁屁。","• 
蓬蓬云抱腰围，超柔超弹，贴身不留痕;
• 
新升级0痕设计腰围
• 
宝宝自己也能换哦","• 
不同尺码不同印花，萌趣伙伴陪宝宝长大; 宝宝的第一条新裤子，开启新生感官之旅
• 
不一样的开箱体验，丝滑不费力","[数据生成中…]

ER&R Topline Report link",AA,$$$$
Huggies-Taped-SleepMaster-Sz2-G3-202604,Huggies-Taped-SleepMaster-Sz2,Huggies,深睡大师,(数据确认中),(数据确认中),NB S M L XL,SP,Apr-26,2026-04,Taped,S,2.1,24.2,Huggies-Taped-SleepMaster-Sz2-G3-202604,"产品尺寸            400X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            14.5g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+10 gsm 
面层宽度            100+142 mm 
面层花型            CD zonal 3D打孔
面层精华            无",Huggies-Taped-SleepMaster-Sz2-G3-202604_TS,"背层材质            0.6D热风
背层克重            20 gsm
背层花型            Flat","腰贴材质            SPB Bubble Teal
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               以梦为马

印花款式               2种","包装材质               PE 复合膜
包装印花               深睡大师
包装厚度               100 um
包装规格               7/32/65 PCT","
内外腿围橡筋   520 Dtex
前后腰围橡筋   660 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 2","吸收速度Gush 1                23 Sec
吸收速度Gush 2                18 Sec
回渗 Gush 2                       0.5 g","• 
深睡+20%，真实消费者测试验证;
• 
倍吸透氧不打扰;
• 
宝宝睡好，妈妈好睡","• 
森呼吸pro芯;
• 
9次1片吸收，2倍速吸;
• 
持续裸感不打扰，吸收后薄度降低20%，吸收后也超薄。","• 
真大坝防漏不打扰，好奇防漏顶配; 
防漏提升60%;
• 
好奇专利挡屎条设计，后漏无忧;
• 
双层折页，防漏能力+70%，稀便拦截率98%","• 
森呼吸pro芯，+200%透气性;
• 
柔若无物不打扰;
• 
绵云般细腻轻柔，拥抱每寸肌肤接触","• 
百变睡姿不打扰; 绝对坦诚睡姿，武林高脚睡姿，拥抱大地睡姿
• 
奢柔贴合，不卡裆不留痕不勒腿","• 
童趣时尚深睡裤;
• 
颜控妈妈挚爱;
• 
以梦为马，坠入甜梦","[数据生成中…]

ER&R Topline Report link",AAAA,$$$$
Huggies-Taped-Forest-Sz2-G4-202503,Huggies-Taped-Forest-Sz2,Huggies,小森林,(数据确认中),(数据确认中),NB S M L XL,P,Mar-25,2025-03,Taped,S,1.4,23.1,Huggies-Taped-Forest-Sz2-G4-202503,"产品尺寸            400X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X105 mm
芯体重量            14.4g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            100+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Huggies-Taped-Forest-Sz2-G4-202503_TS,"背层材质            0.8D热风
背层克重            15 gsm
背层花型            叶片型打孔","腰贴材质            SPB Bubble Teal
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               ForestNatural

印花款式               3种","包装材质               PE 复合膜
包装印花               ForestNatural
包装厚度               100 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 2","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
100%低敏配方;低敏天花板 0螨0添加
• 
不含200种致敏原;
• 
森呼吸透氧芯，双倍透氧;
• 
低敏感，高透气，真隔菌","• 
尿便分区，精准速吸;
• 
尿区特设小孔，吸收速度+30%，
• 
便区240多个吸便漏斗，锁便能力+25%;
• 
反重力导流层，一片吸八次，倒着躺着都能吸","• 
防漏便便兜，全面拦截后漏;
• 
稀便拦截98%","• 
森呼吸透氧芯，透气+2倍;
• 
去除70%异味，告别纸尿裤生化危机;
• 
吸收芯含植物源纤维，亲肤不刺激
• 
隔离有害菌，贴肤穿更安心。每一次接触都低敏，致敏原检测单比宝宝还高","• 
专利泡泡腰贴，柔软度+200%;
• 
宽大腰贴，包裹+18%;
• 
小内裤式贴合，满臀包裹，三圈不勒，弧形裁剪更贴合","• 
时尚潮流印花;
• 
每个尺码配不同花色;
• 
颜控妈妈挚爱
• 【森命力】升级，升级版新增封口贴，全新“随手封”","[数据生成中…]

ER&R Topline Report link",AAAAA,$$$
Huggies-Taped-Dragon-Sz2-G7-202509,Huggies-Taped-Dragon-Sz2,Huggies,小龙裤,(数据确认中),(数据确认中),NB S M L XL,P,Sep-25,2025-09,Taped,S,1.3,23.2,Huggies-Taped-Dragon-Sz2-G7-202509,"产品尺寸            400X210 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            14.1g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            90+142 mm 
面层花型            3D打孔 12针
面层精华            添加真蚕丝",Huggies-Taped-Dragon-Sz2-G7-202509_TS,"背层材质            1.4D热风
背层克重            15 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               ChinaDragon

印花款式               3种","包装材质               PE 单层膜
包装印花               ChinaDragon
包装厚度               60 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X1","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
奶柔不易留痕，进阶大吸量;
• 
面层添加【真蚕丝】，奢宠娇嫩肌","• 
龙吸吨吨芯，30倍NEW！爆量吸收;
• 
添加2万+颗吸水珠珠 尿涌高发区","• 
升级奢绒便便兜;
• 
40mm超高便便兜，轻松拦截后漏","• 
升级奶缎奢柔面层，4000万+细密柔梳，摩擦1000次不易泛红;
• 
万米仅重1.4g极细纤维，添加柔顺因子;
• 
百万透气微孔，透气性+200%","• 
后腰【软糯贴贴】不刺痒;
• 
好奇首创【2倍宽】双层立体舒压腿围，轻柔包覆腿圈肉肉","• 
奶酷印花图案;
• 
龙年时尚穿搭","[数据生成中…]

ER&R Topline Report link",AAAAA,$$
Huggies-Taped-Gogi-Sz2-G3-202410,Huggies-Taped-Gogi-Sz2,Huggies,柯基裤,(数据确认中),(数据确认中),NB S M L XL,V,Oct-24,2024-10,Taped,S,1.0,21.8,Huggies-Taped-Gogi-Sz2-G3-202410,"产品尺寸            400X200 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X100 mm
芯体重量            12.4g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            乳木果精华",Huggies-Taped-Gogi-Sz2-G3-202410_TS,"背层材质            1.2D热风
背层克重            14 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm",(数据获取中),(数据获取中),(数据获取中),(数据获取中),"• 
天然乳木果精华，强韧肌肤屏障;
• 
特有柔织工艺，天生柔软","• 
0.2cm吸收芯体;
• 
海纳百川静静守护;
• 
近0潮感，干爽无忧",(文案未重点突出),"• 
1.2D超细纤维，比宝宝发丝更细腻;
• 
百万透气毛细孔，屁屁不生闷气","• 
贴身不易勒;
• 
Lycra大弹力腰腿围，轻轻柔柔抱住你","• 
诺，请收下我的礼物;
• 
每包内含两种图案","[数据生成中…]

ER&R Topline Report link",AA,$$
Huggies-Taped-BlackHole-Sz2-G4-202506,Huggies-Taped-BlackHole-Sz2,Huggies,小黑洞,(数据确认中),(数据确认中),NB S M L XL 2XL,V,Jun-25,2025-06,Taped,S,1.0,21.8,Huggies-Taped-BlackHole-Sz2-G4-202506,"产品尺寸            400X190 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            310X105 mm
芯体重量            12.2g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Huggies-Taped-BlackHole-Sz2-G4-202506_TS,"背层材质            1.2D热风
背层克重            15 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               小黑洞

印花款式               3种","包装材质               PE 单层膜
包装印花               小黑洞
包装厚度               50 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 1",(数据获取中),"• 
速吸速干，不红不漏;
• 
全新升级，速干小黑洞;
• 
不漏金汤，不红屁屁","• 
吸收速度+2倍，1秒穿透;
• 
升级小黑洞吸收芯，秒速穿透;
• 
海量吸收力，7次嘘嘘也不漏;
• 
旋风吸水珠，30倍自重轻松吸
• 
平整不起坨，行走2h不断层，好动宝宝好舒服","• 
好奇独家便便兜，后漏拜拜","• 
云半软绵，4000万+次柔梳;
• 
0.2cm裸感芯，透气性+200%;
• 
弱酸亲肤，0杂质，0荧光，0致病菌","• 
超服帖，小蝴蝶版型，不勒不漏;
• 
行走2h不断层",(文案未重点突出),"[数据生成中…]

ER&R Topline Report link",AAAA,$$
Huggies-Taped-Peach-Sz2-G6-202507,Huggies-Taped-Peach-Sz2,Huggies,小桃裤,(数据确认中),(数据确认中),NB S M L XL 2XL,V,Jul-25,2025-07,Taped,S,0.8,21.8,Huggies-Taped-Peach-Sz2-G6-202507,"产品尺寸            395X205 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            315X105 mm
芯体重量            12.1g (60% w/w)
AGM商品名        未知","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            桃叶精华",Huggies-Taped-Peach-Sz2-G6-202507_TS,"背层材质            1.2D热风
背层克重            13 gsm
背层花型            Flat","腰贴材质            SPB Bubble White
腰贴克重            35 gsm
腰贴形状            Shaped
粘扣克重            90 gsm","印花主题               小桃裤

印花款式               3种","包装材质               PE 单层膜
包装印花               小桃裤
包装厚度               50 um
包装规格               7/32/65 PCT","
内外腿围橡筋   540 Dtex
前后腰围橡筋   680 Dtex
抛弃贴               无
尿显                   Strips 3 mm X 1","吸收速度Gush 1                20 Sec
吸收速度Gush 2                15 Sec
回渗 Gush 2                       0.4 g","• 
植萃桃叶精华，爽肤滑溜溜;
• 
裸感桃桃，透爽散热","• 
芯升级，秒吸速干;
• 
7次嘘嘘也干爽;
• 
微孔超导层，1s穿透;
• 
升级叶脉导流层","• 
好奇特有便便兜，后漏拜拜","• 
芯升级，更透气200%;
• 
0.15cm裸感散热芯，秒吸速干;
• 
云般轻柔，3000万+细密柔梳;
• 
弱酸亲肤，0杂质，0荧光，0致病菌","• 
升级花苞腰围，奢护小奶肚",(文案未重点突出),"[数据生成中…]

ER&R Topline Report link",AAAAA,$$
Pampers-Taped-BlackGold-Sz2-G1-202103,Pampers-Taped-BlackGold-Sz2,Pampers,黑金帮,(数据确认中),第1代黑金帮,NB S M L XL,SP,Mar-21,2021-03,Taped,S,2.5,,Pampers-Taped-BlackGold-Sz2-G1-202103,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7099 ","面层材质            热风无纺布
面层克重            30 gsm
面层花型            叶脉型3D打孔
面层精华            类胎脂精华",Pampers-Taped-BlackGold-Sz2-G1-202103_TS,(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),"[数据生成中…]

ER&R Topline Report link",(数据获取中),(数据获取中)
Pampers-Taped-Ichiban-Sz2-G1-201707,Pampers-Taped-Ichiban-Sz2,Pampers,一级帮,(数据确认中),第1代一级帮,NB S M L XL,P,Jul-17,2017-07,Taped,S,1.6,,Pampers-Taped-Ichiban-Sz2-G1-201707,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7104","面层材质            热风无纺布
面层克重            30 gsm
面层花型            叶脉型3D打孔
面层精华            桃叶精华",Pampers-Taped-Ichiban-Sz2-G1-201707_TS,(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),"[数据生成中…]

ER&R Topline Report link",(数据获取中),(数据获取中)
Moony-Taped-RoyalSkin-Sz2-G2-202605,Moony-Taped-RoyalSkin-Sz2,Moony,皇家佑肌,(数据确认中),(数据确认中),NB S M L XL,P,May-26,2026-05,Taped,S,1.6,,Moony-Taped-RoyalSkin-Sz2-G2-202605,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7104","面层材质            热风无纺布
面层克重            30 gsm
面层花型            叶脉型3D打孔
面层精华            桃叶精华",Pampers-Taped-Ichiban-Sz2-G1-201707_TS,(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),"[数据生成中…]

ER&R Topline Report link",(数据获取中),(数据获取中)
Moony-Taped-RoyalSkin-Sz5-G2-202605,Moony-Taped-RoyalSkin-Sz5,Moony,皇家佑肌,(数据确认中),(数据确认中),L XL 2XL 3XL 4XL,P,May-26,2026-05,Pants,XL,2.9,,Moony-Taped-RoyalSkin-Sz5-G2-202605,"产品尺寸            500X500 mm
剪裁                    一体式剪裁","芯体类型            复合芯体
芯体尺寸            500X500 mm
芯体重量            18g 
AGM商品名        BASF7108","面层类型            上下胶水复合
面层材质            Up热风+Down纺粘
面层克重            33+12 gsm 
面层宽度            110+142 mm 
面层花型            MD zonal 3D打孔
面层精华            无",Babycare-Pants-AirPro-Sz5-G2-202603_TS,(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(数据获取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),(文案抓取中),"[数据生成中…]

ER&R Topline Report link",(数据获取中),(数据获取中)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
